Date;T_max;T_min;Radiation;Precp;irr;c02
2020-01-01;13.014;2.588;8.64064;0;0;420
2020-01-02;12.148;3.821;8.55086;0;0;420
2020-01-03;12.712;2.195;8.968588;0;0;420
2020-01-04;11.229;6.424;4.581236;0;0;420
2020-01-05;12.299;4.612;8.624752;0;0;420
2020-01-06;7.683;4.587;7.401604;0;0;420
2020-01-07;10.506;2.291;9.077476;0;0;420
2020-01-08;11.917;4.787;8.214716;0;0;420
2020-01-09;12.118;2.44;9.074112;0;0;420
2020-01-10;11.361;2.812;8.979804;0;0;420
2020-01-11;13.338;2.545;9.370952;0;0;420
2020-01-12;13.41;7.315;7.946232;0;0;420
2020-01-13;13.516;5.657;8.8496;0;0;420
2020-01-14;13.215;3.47;9.419632;0;0;420
2020-01-15;13.692;3.087;9.730808;0;0;420
2020-01-16;13.221;1.987;9.8458;0;0;420
2020-01-17;11.66;1.524;9.901232;0;0;420
2020-01-18;11.191;4.181;5.226704;13.5;0;420
2020-01-19;12.534;5.35;7.384936;0;0;420
2020-01-20;11.441;7.439;6.02568;0;0;420
2020-01-21;12.995;6.383;9.371728;0;0;420
2020-01-22;13.587;3.661;9.922668;0;0;420
2020-01-23;14.657;3.325;10.340824;0;0;420
2020-01-24;13.816;3.971;9.874552;0;0;420
2020-01-25;14.175;7.44;7.359864;0;0;420
2020-01-26;14.155;6.747;6.433904;0;0;420
2020-01-27;12.761;5.482;9.140444;1.5;0;420
2020-01-28;12.902;8.361;6.725204;10.5;0;420
2020-01-29;13.152;9.741;7.629576;1.5;0;420
2020-01-30;14.081;6.462;10.667792;0;0;420
2020-01-31;12.566;7.823;7.486348;0;0;420
2020-02-01;13.441;7.426;5.748896;0;0;420
2020-02-02;13.983;9.758;5.810036;0;0;420
2020-02-03;13.105;10.048;4.476028;0;0;420
2020-02-04;14.343;6.627;6.242308;12;0;420
2020-02-05;8.749;6.12;9.014724;3;0;420
2020-02-06;8.132;4.327;11.993092;0;0;420
2020-02-07;12.546;1.872;12.488676;0;0;420
2020-02-08;13.676;1.609;12.807904;0;0;420
2020-02-09;13.033;5.475;12.647284;0;0;420
2020-02-10;13.364;6.338;6.565572;7.5;0;420
2020-02-11;14.257;12.073;7.731892;0;0;420
2020-02-12;14.821;8.206;10.988224;0;0;420
2020-02-13;13.946;6.851;10.864572;0;0;420
2020-02-14;13.223;10.098;5.164372;33;0;420
2020-02-15;14.807;6.323;13.637066;0;0;420
2020-02-16;14.471;4.479;14.117346;0;0;420
2020-02-17;13.118;7.028;13.868518;0;0;420
2020-02-18;12.711;6.739;11.893496;0;0;420
